Model,Accuracy,F1 Score
Tuned Logistic Regression,0.768361581920904,0.7531276658422533
Tuned Random Forest,0.7740112994350282,0.7588214872942213
Tuned XGBoost,0.7536723163841808,0.7483313026953626
